,date,prediction,numberOfEntriesPurchasedPerCountryBy10000
0,2019-11-01,0.4397456,198.0
1,2019-11-18,0.47084677,
2,2020-01-21,0.51077193,
3,2019-11-21,0.45781988,
4,2020-04-30,0.3089875,
5,2020-03-07,0.46306816,
6,2020-03-13,0.35654345,219.0
7,2020-02-04,0.43624943,
8,2020-02-15,0.46296492,
9,2020-02-12,0.4738222,
10,2019-12-28,0.45957473,
11,2020-05-08,0.30763748,190.0
12,2019-12-10,0.4612446,
13,2020-01-17,0.4564711,264.0
14,2019-12-18,0.4214512,
15,2020-04-29,0.34141776,
16,2020-05-10,0.45249006,
17,2019-11-09,0.4089072,
18,2020-01-25,0.47127548,
19,2020-04-26,0.36155143,
20,2019-12-04,0.4635691,
21,2020-04-21,0.37006575,
22,2020-03-09,0.43833023,
23,2020-03-10,0.41701922,
24,2020-03-11,0.39134732,
25,2020-04-19,0.38472232,
26,2019-12-08,0.44060177,
27,2019-12-22,0.422499,
28,2020-02-11,0.46820468,
29,2019-12-29,0.44241926,
30,2020-04-13,0.35763338,
31,2019-12-14,0.436696,
32,2020-02-25,0.35603034,
33,2020-03-29,0.34426972,
34,2019-11-27,0.5145657,
35,2020-02-09,0.4728481,
36,2020-03-21,0.3494285,
37,2020-04-14,0.3677355,
38,2019-11-15,0.50130075,268.0
39,2020-02-23,0.43169588,
40,2019-11-14,0.40353957,
41,2020-04-06,0.3694365,
42,2019-12-05,0.3849122,
43,2020-04-23,0.37658945,
44,2019-12-23,0.4525127,
45,2020-02-21,0.5520264,204.0
46,2020-05-06,0.33325055,
47,2020-01-10,0.5286451,225.0
48,2020-03-03,0.42748088,
49,2020-02-27,0.3780334,
50,2020-04-20,0.3584338,
51,2020-01-24,0.49512517,188.0
52,2020-02-19,0.46359006,
53,2019-12-11,0.47111887,
54,2020-04-09,0.3554325,
55,2019-11-13,0.4692675,
56,2020-04-17,0.36672896,176.0
57,2020-03-05,0.39211166,
58,2020-03-06,0.40972796,184.0
59,2020-05-09,0.29280788,
60,2019-11-19,0.48332855,
61,2020-03-25,0.3448689,
62,2019-11-22,0.43395826,194.0
63,2019-12-16,0.43215296,
64,2019-12-25,0.43519962,
65,2019-12-07,0.4590425,
66,2020-01-04,0.52380395,
67,2020-05-12,0.31926462,
68,2020-02-01,0.5049556,
69,2019-11-11,0.46139142,
70,2020-03-02,0.41926184,
71,2020-01-11,0.51472056,
72,2020-01-13,0.5208585,
73,2020-04-24,0.4352373,158.0
74,2020-01-28,0.49665585,
75,2020-04-28,0.35502982,
76,2019-12-15,0.4194868,
77,2020-01-22,0.46692252,
78,2020-03-22,0.31208843,
79,2019-11-12,0.42331582,
80,2020-01-03,0.4617942,185.0
81,2020-01-07,0.48863417,
82,2020-02-08,0.50913113,
83,2020-01-05,0.46360362,
84,2019-12-27,0.43697822,186.0
85,2020-03-08,0.44051984,
86,2020-05-04,0.32778615,
87,2019-11-28,0.46088153,
88,2020-04-03,0.3622486,159.0
89,2019-11-23,0.40117684,
90,2020-03-30,0.3466904,
91,2019-11-24,0.4576256,
92,2020-04-27,0.37874296,
93,2019-11-05,0.44042495,
94,2020-01-06,0.51155305,
95,2020-02-20,0.4924449,
96,2020-04-15,0.3351306,
97,2020-04-15,0.3351306,
98,2020-05-11,0.33663002,
99,2019-11-17,0.5194353,
100,2020-02-22,0.45944598,
101,2020-03-17,0.3652644,
102,2020-05-02,0.28777444,
103,2020-02-10,0.4895674,
104,2020-03-27,0.4052892,140.0
105,2020-03-27,0.4052892,140.0
106,2019-12-20,0.5578417,200.0
107,2019-11-08,0.4308941,251.0
108,2019-12-30,0.4358194,
109,2020-02-05,0.472632,
110,2020-02-24,0.41375402,
111,2020-05-05,0.3087162,
112,2019-12-13,0.45370945,244.0
113,2019-12-19,0.49435133,
114,2019-12-26,0.40573487,
115,2020-04-07,0.3506027,
116,2020-05-14,0.3089152,
117,2020-01-27,0.48419192,
118,2019-12-17,0.45963284,
119,2020-02-06,0.4700265,
120,2020-03-12,0.31772426,
121,2020-04-04,0.35730332,
122,2020-05-03,0.27494416,
123,2019-11-02,0.4507725,
124,2020-01-30,0.42644426,
125,2020-03-19,0.36523113,
126,2020-01-12,0.48125765,
127,2020-05-01,0.32365897,154.0
128,2019-12-12,0.46569002,
129,2020-03-16,0.3455706,
130,2020-04-25,0.36718348,
131,2019-11-29,0.41426355,268.0
132,2020-01-19,0.46061116,
133,2020-03-01,0.43033978,
134,2020-02-18,0.44954297,
135,2020-02-29,0.40028933,
136,2020-04-01,0.33299875,
137,2020-04-10,0.35782027,169.0
138,2020-03-15,0.30458242,
139,2020-03-26,0.34025756,
140,2020-01-23,0.52064085,
141,2019-11-26,0.4099541,
142,2020-03-31,0.34717923,
143,2020-01-16,0.49501008,
144,2019-11-25,0.4149493,
145,2019-12-01,0.43962148,
146,2020-05-13,0.32401982,
147,2020-01-02,0.4421622,
148,2020-03-20,0.37692007,148.0
149,2020-01-09,0.48007756,
150,2020-01-31,0.45464647,190.0
151,2020-02-16,0.46493205,
152,2020-03-23,0.3270696,
153,2020-03-28,0.29988897,
154,2020-05-07,0.30003995,
155,2019-11-03,0.40607542,
156,2020-01-15,0.43055278,
157,2020-01-26,0.49755827,
158,2020-04-12,0.3543934,
159,2019-11-30,0.4713236,
160,2019-11-04,0.38302055,
161,2019-11-10,0.5314865,
162,2020-01-20,0.5234019,
163,2020-02-17,0.4562664,
164,2020-04-16,0.35990494,
165,2020-02-13,0.50307703,
166,2020-01-18,0.5139214,
167,2020-02-14,0.537823,197.0
168,2019-12-03,0.47054052,
169,2020-02-28,0.40673566,213.0
170,2019-12-21,0.48768267,
171,2019-12-06,0.468276,195.0
172,2020-01-01,0.5051184,
173,2020-03-04,0.42928508,
174,2019-12-02,0.38841534,
175,2020-04-05,0.34820554,
176,2020-02-02,0.5194917,
177,2020-04-08,0.39108336,
178,2019-11-07,0.40080732,
179,2020-02-26,0.3759496,
180,2019-12-09,0.43717685,
181,2020-03-14,0.31497464,
182,2020-03-24,0.3395684,
183,2020-04-02,0.34411624,
184,2019-11-06,0.40571645,
185,2020-01-14,0.49140978,
186,2020-04-11,0.36749658,
187,2019-11-16,0.42986763,
188,2020-01-08,0.5042034,
189,2019-12-31,0.462003,
190,2020-02-03,0.50030863,
191,2020-03-18,0.3572728,
192,2020-01-29,0.4618895,
193,2020-02-07,0.4359356,396.0
194,2020-05-15,0.33339006,201.0
195,2020-04-18,0.33947814,
196,2019-11-20,0.40824917,
197,2019-12-24,0.46268606,
198,2020-04-22,0.42252254,
